# book_id: 01
# book_name: 珐琅工艺
# subject: enamel
# domain: industrial_training
# category: jewelry_craft
# version: v1





掐丝镊子 | alias=掐丝镊子 | type=工具
花丝剪 | alias=花丝剪 | type=工具
圆嘴钳 | alias=圆嘴钳 | type=工具
玻璃研磨杵 | alias=玻璃研磨杵 | type=工具
陶瓷调色板 | alias=陶瓷调色板 | type=工具
油画刀 | alias=油画刀 | type=工具
极细勾线毛笔 | alias=极细勾线毛笔 | type=工具
辉柏嘉铅笔 | alias=辉柏嘉铅笔 | type=工具
施德楼铅笔 | alias=施德楼铅笔 | type=工具
金属雕刻刀 | alias=金属雕刻刀 | type=工具
钢钩 | alias=钢钩 | type=工具
钢制窝作 | alias=窝作 | type=工具
钢钎 | alias=钢钎 | type=工具
锉刀 | alias=锉刀 | type=工具
拔丝板 | alias=拔丝板 | type=工具
木质圆头杵 | alias=木质圆头杵 | type=工具
浓硫酸原液 | alias=浓硫酸原液 | type=工具
王水 | alias=王水 | type=工具
天那水 | alias=天那水 | type=工具
背釉烧制 | alias=背釉烧制 | type=工艺工序
底釉烧制 | alias=底釉烧制 | type=工艺工序
填料 | alias=填料 | type=工艺工序
多层填料 | alias=多层填料 | type=工艺工序
低温预烘干 | alias=低温预烘干 | type=工艺工序
入炉烧制 | alias=入炉烧制 | type=工艺工序
半熔化 | alias=半熔化 | type=工艺工序
完全熔化 | alias=完全熔化 | type=工艺工序
烧艳 | alias=高温抛光复烧 | type=工艺工序
打磨 | alias=打磨 | type=工艺工序
湿磨 | alias=湿磨 | type=工艺工序
干磨 | alias=干磨 | type=工艺工序
超声波清洗 | alias=超声波清洗 | type=工艺工序
拓印图案 | alias=拓印图案 | type=工艺工序
掐丝 | alias=掐丝 | type=工艺工序
摆丝 | alias=摆丝 | type=工艺工序
焊丝 | alias=焊丝 | type=工艺工序
粘丝 | alias=粘丝 | type=工艺工序
丝漏釉 | alias=丝漏釉 | type=工艺工序
丝倒伏 | alias=丝倒伏 | type=工艺工序
分层竖烧 | alias=分层竖烧 | type=工艺工序
金属腐蚀 | alias=金属腐蚀 | type=工艺工序
防护层涂布 | alias=防护层涂布 | type=工艺工序
底纹雕刻 | alias=雕金 | type=工艺工序
多层罩染 | alias=多层罩染 | type=工艺工序
釉色渐变 | alias=釉色渐变 | type=工艺工序
贴箔 | alias=贴箔 | type=工艺工序
预处理金箔 | alias=预处理金箔 | type=工艺工序
酸洗 | alias=酸洗 | type=工艺工序
研磨 | alias=研磨 | type=工艺工序
调制 | alias=调制 | type=工艺工序
干燥 | alias=干燥 | type=工艺工序
施放 | alias=施放 | type=工艺工序
铺放 | alias=铺放 | type=工艺工序
晕染效果 | alias=晕染效果 | type=工艺工序
罩染 | alias=罩染 | type=工艺工序
抛光 | alias=抛光 | type=工艺工序
倒伏 | alias=倒伏 | type=工艺工序
过度腐蚀 | alias=过度腐蚀 | type=瑕疵
开裂 | alias=开裂 | type=瑕疵
剥落 | alias=剥落 | type=瑕疵
喷溅混色 | alias=喷溅混色 | type=瑕疵
釉料气泡 | alias=釉料气泡 | type=瑕疵
金属氧化发黑 | alias=氧化发黑 | type=瑕疵
釉料过烧 | alias=釉料过烧 | type=瑕疵
釉色消退 | alias=釉色消退 | type=瑕疵
透空珐琅破洞 | alias=透空珐琅破洞 | type=瑕疵
垂流 | alias=垂流 | type=瑕疵
焊药 | alias=焊药 | type=瑕疵
翻色 | alias=翻花 | type=技法
釉面 | alias=釉面 | type=属性
